Home Odds,Vis Odds,Home Win,Bet Direction,Bet Sizes,Outcome,Bankroll
1.65,2.34,True,True,10.0,6.5,6.5
1.89,1.96,True,True,10.0,8.899999999999999,15.399999999999999
1.86,2.02,False,True,10.0,-10.0,5.399999999999999
2.32,1.66,True,True,10.0,0.0,5.399999999999999
1.62,2.4,False,True,10.0,-10.0,-4.600000000000001
1.79,2.08,False,True,10.0,-10.0,-14.600000000000001
1.74,2.16,False,True,10.0,-10.0,-24.6
1.53,2.63,True,True,10.0,0.0,-24.6
1.78,2.12,True,True,10.0,7.800000000000001,-16.8
2.02,1.84,False,False,10.0,8.400000000000002,-8.399999999999999
2.29,1.67,True,True,10.0,0.0,-8.399999999999999
2.14,1.76,False,True,10.0,0.0,-8.399999999999999
2.24,1.7,False,True,10.0,0.0,-8.399999999999999
2.15,1.75,True,True,10.0,0.0,-8.399999999999999
2.19,1.73,False,True,10.0,0.0,-8.399999999999999
2.06,1.81,False,True,10.0,0.0,-8.399999999999999
2.39,1.62,True,True,10.0,0.0,-8.399999999999999
1.87,1.98,True,True,10.0,8.700000000000003,0.30000000000000426
1.84,2.01,True,True,10.0,8.400000000000002,8.700000000000006
1.73,2.18,True,True,10.0,7.300000000000001,16.000000000000007
2.09,1.79,False,True,10.0,0.0,16.000000000000007
1.94,1.91,False,True,10.0,-10.0,6.000000000000007
1.8,2.08,True,True,10.0,8.0,14.000000000000007
1.96,1.89,False,False,10.0,8.899999999999999,22.900000000000006
2.18,1.73,False,True,10.0,0.0,22.900000000000006
2.16,1.74,True,True,10.0,0.0,22.900000000000006
1.44,2.91,True,True,10.0,0.0,22.900000000000006
1.71,2.22,False,True,10.0,-10.0,12.900000000000006
2.11,1.78,False,True,10.0,0.0,12.900000000000006
1.57,2.51,False,True,10.0,0.0,12.900000000000006
2.05,1.82,True,True,10.0,0.0,12.900000000000006
1.69,2.25,True,True,10.0,6.899999999999999,19.800000000000004
2.1,1.79,True,True,10.0,0.0,19.800000000000004
1.81,2.05,True,True,10.0,8.100000000000001,27.900000000000006
1.53,2.64,True,False,10.0,0.0,27.900000000000006
2.57,1.55,False,False,10.0,0.0,27.900000000000006
1.7,2.26,True,True,10.0,7.0,34.900000000000006
1.96,1.88,False,False,10.0,8.799999999999997,43.7
2.45,1.6,False,True,10.0,0.0,43.7
1.54,2.59,True,True,10.0,0.0,43.7
1.8,2.07,True,True,10.0,8.0,51.7
1.7,2.22,True,True,10.0,7.0,58.7
1.42,2.98,True,False,10.0,0.0,58.7
1.78,2.09,True,True,10.0,7.800000000000001,66.5
2.12,1.77,False,True,10.0,0.0,66.5
2.17,1.74,True,True,10.0,0.0,66.5
1.62,2.4,False,True,10.0,-10.0,56.5
2.44,1.6,True,False,10.0,0.0,56.5
1.88,1.96,True,True,10.0,8.799999999999997,65.3
1.56,2.54,False,True,10.0,0.0,65.3
