Time,Date,Home,Visitor,Home Odds,Vis Odds
09:05,24-July-2021,Atlanta Braves,Philadelphia Phillies,2.36,1.675
09:10,24-July-2021,San Diego Padres,Miami Marlins,1.709,2.3
09:10,24-July-2021,St. Louis Cardinals,Cincinnati Reds,2.52,1.602
11:45,24-July-2021,Pittsburgh Pirates,San Francisco Giants,2.7,1.537
12:10,24-July-2021,Colorado Rockies,Los Angeles Dodgers,3.44,1.364
09:10,24-July-2021,New York Yankees,Boston Red Sox,2.1,1.84
09:10,24-July-2021,Tampa Bay Rays,Cleveland Indians,1.8,2.15
10:10,24-July-2021,Los Angeles Angels,Minnesota Twins,2.0,1.925
10:10,24-July-2021,Texas Rangers,Houston Astros,2.81,1.502
10:10,24-July-2021,Detroit Tigers,Kansas City Royals,2.09,1.847
12:10,24-July-2021,Oakland Athletics,Seattle Mariners,1.819,2.13
09:05,24-July-2021,Washington Nationals,Baltimore Orioles,1.775,2.19
09:10,24-July-2021,Toronto Blue Jays,New York Mets,2.01,1.909
10:10,24-July-2021,Chicago White Sox,Milwaukee Brewers,2.17,1.793
